Category,1 Star Reviews,2 Star Reviews,3 Star Reviews,4 Star Reviews,5 Star Reviews,Positive Reviews,Negative Reviews,All Reviews Count,Average Rating
Shopping,57871,22128,30748,62416,163722,226138,79999,336885,3.74800005936744
Shopping Centers,1401,1633,3648,5689,4077,9766,3034,16448,3.5719844357976656
Food,83561,72739,113907,241698,372170,613868,156300,884075,3.8440200209258264
Soul Food,2052,1785,2356,5432,8779,14211,3837,20404,3.838119976475201
Convenience Stores,3079,1132,1854,3567,4303,7870,4211,13935,3.3504126300681736
Restaurants,322261,285644,417488,818771,1083567,1902338,607905,2927731,3.702161161664101
Coffee & Tea,17865,16636,27566,58894,91297,150191,34501,212258,3.891000574772211
Professional Services,10847,1414,1128,2683,29845,32528,12261,45917,3.855129908312825
Matchmakers,26,1,2,6,31,37,27,66,3.227272727272727
Sandwiches,30248,26283,38152,80760,120210,200970,56531,295653,3.7928246965192303
Tobacco Shops,1247,489,564,1592,8256,9848,1736,12148,4.244731643068818
Chiropractors,1007,245,164,517,8003,8520,1252,9936,4.435587761674718
Health & Medical,31910,6679,4897,11391,92888,104279,38589,147765,3.8572260007444252
Automotive,42294,7934,6715,14837,93024,107861,50228,164804,3.6575265163466906
Oil Change Stations,9518,1727,1104,2681,19847,22528,11245,34877,3.6196633884795135
Car Wash,6845,1786,1480,2520,7763,10283,8631,20394,3.1260174561145435
Auto Detailing,4530,1002,784,1330,8615,9945,5532,16261,3.522600086095566
Jewelry Repair,338,70,49,165,2491,2656,408,3113,4.413748795374237
Gold Buyers,203,40,22,71,910,981,243,1246,4.159711075441413
Local Services,24313,4595,4250,10491,80277,90768,28908,123926,3.9507609379791164
Appraisal Services,83,14,9,32,405,437,97,543,4.219152854511971
Jewelry,2417,758,1003,2463,10857,13320,3175,17498,4.062121385301177
Optometrists,2409,608,493,1023,7795,8818,3017,12328,3.9074464633354964
Bowling,1158,731,1042,1899,1778,3677,1889,6608,3.364406779661017
Active Life,15953,9030,13766,32285,74637,106922,24983,145671,3.965346568637546
Barbers,3034,963,831,2329,17284,19613,3997,24441,4.2219630947997215
Men's Hair Salons,1092,310,260,693,8068,8761,1402,10423,4.375323803127698
Hair Removal,8038,3134,2429,6152,45417,51569,11172,65170,4.193432560994323
Waxing,4646,1880,1453,3651,28256,31907,6526,39886,4.228275585418443
Beauty & Spas,41363,15197,13889,34438,174851,209289,56560,279738,4.023160957753326
Hair Salons,11573,4058,3450,9244,59490,68734,15631,87815,4.1503729431190575
Flowers & Gifts,3156,1309,1870,4531,11930,16461,4465,22796,3.911124758729602
Bakeries,9982,9768,15346,33821,55319,89140,19750,124236,3.9234601886731704
Grocery,8540,5564,8760,19135,22314,41449,14104,64313,3.6393575171427237
Florists,1787,517,548,1396,5643,7039,2304,9891,3.868567384490951
Landscape Architects,382,63,39,118,1269,1387,445,1871,3.977552111170497
Home & Garden,12877,3648,4411,9402,29721,39123,16525,60059,3.656720891123728
Irrigation,387,61,24,88,1712,1800,448,2272,4.178257042253521
Home Services,42134,6393,4621,10739,106737,117476,48527,170624,3.7827269317329333
Artificial Turf,51,17,5,16,534,550,68,623,4.548956661316212
Nurseries & Gardening,1517,503,572,1300,3181,4481,2020,7073,3.583203732503888
Gardeners,365,61,37,120,1568,1688,426,2151,4.145978614597862
Landscaping,1842,327,185,501,5849,6350,2169,8704,3.940716911764706
Contractors,4613,743,491,1206,18987,20193,5356,26040,4.121774193548387
Burgers,32403,26322,37242,67031,82706,149737,58725,245704,3.5751432618109593
Bars,79031,71626,107858,204998,251399,456397,150657,714912,3.668764826999687
Sports Bars,18428,13336,17177,26616,27407,54023,31764,102964,3.3033875917796514
Nightlife,87535,77445,116966,222315,275994,498309,164980,780255,3.6687403477068394
American (Traditional),59150,51626,71299,125774,153699,279473,110776,461548,3.5703545460060493
Chinese,25246,19390,29734,52205,51576,103781,44636,178151,3.479789616673496
Roofing,481,66,32,91,1534,1625,547,2204,3.966878402903811
Financial Services,5347,789,641,1147,8835,9982,6136,16759,3.4376156095232413
Banks & Credit Unions,2966,514,451,746,2371,3117,3480,7048,2.8640749148694664
Auto Repair,22793,3523,2202,5762,51647,57409,26316,85927,3.6976503310949993
Tires,7167,1259,899,2443,17088,19531,8426,28856,3.728652619905739
Italian,28704,26096,34768,70480,104006,174486,54800,264054,3.7384398645731554
Diners,8674,7511,11105,21783,26019,47802,16185,75092,3.652026847067597
Breakfast & Brunch,36452,36676,54873,114242,159604,273846,73128,401847,3.805953509669103
Mexican,34185,28178,36029,69758,102340,172098,62363,270490,3.6576583237827647
Chicken Wings,15260,8532,10065,16872,21976,38848,23792,72705,3.299456708617014
Life Coach,71,13,13,46,1402,1448,84,1545,4.744336569579288
Reiki,130,40,36,132,1809,1941,170,2147,4.606893339543549
Naturopathic/Holistic,399,102,74,232,2953,3185,501,3760,4.393085106382979
Hypnosis/Hypnotherapy,17,3,6,20,350,370,20,396,4.724747474747475
Counseling & Mental Health,470,59,67,157,1352,1509,529,2105,3.884560570071259
Doctors,15738,2940,1890,3854,26947,30801,18678,51369,3.454203897292141
Advertising,234,22,18,60,924,984,256,1258,4.127186009538951
Marketing,426,73,50,155,1948,2103,499,2652,4.178733031674208
Business Consulting,65,9,2,17,399,416,74,492,4.373983739837398
Pubs,10854,11539,19716,37821,36816,74637,22393,116746,3.6698816233532625
Arts & Entertainment,40487,29372,43911,80466,100928,181394,69859,295164,3.582645580084292
Performing Arts,3925,3068,4826,10379,23082,33461,6993,45280,4.00761925795053
Toy Stores,674,408,647,1435,2916,4351,1082,6080,3.9064144736842104
Hobby Shops,975,551,903,1916,3768,5684,1526,8113,3.8567730802415876
Hair Stylists,2511,677,536,1524,18758,20282,3188,24006,4.3888611180538195
Shades & Blinds,464,117,77,165,2656,2821,581,3479,4.27392929002587
Seafood,19995,19077,27810,56026,83760,139786,39072,206668,3.795860994445197
Community Service/Non-Profit,484,273,485,1096,2128,3224,757,4466,3.9205105239587996
Hiking,99,81,297,1489,3448,4937,180,5414,4.497229405245659
Behavior Analysts,3,0,0,0,9,9,3,12,4.0
Comfort Food,3389,3765,5966,11887,15340,27227,7154,40347,3.793714526482762
Canadian (New),5120,6182,10827,18578,15754,34332,11302,56461,3.596234568994527
